,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer,ll
580,271,450,0.78,10,6963,9.7e-09,2.7e-09,271.0,450.0,0.0099999997764825,10.0,6962.0,0.9900000095367432,0.4544691443443298,0.5400128364562988,0.5,115,adamax,-81.58884788764432
581,211,301,0.31,11,8505,1.6e-08,4.2e-09,211.0,301.0,0.0945870950818061,11.0,8504.0,0.9900000095367432,0.467350572347641,0.5409880876541138,0.5,172,adamax,-79.12416876695497
582,221,435,0.26,11,7320,9.6e-07,6.2e-05,221.0,435.0,0.1426443457603454,11.0,7320.0,0.9900000095367432,0.4326440393924713,0.5426319241523743,0.5,218,adamax,-82.63184267968262
583,202,402,0.57,6,2,7.2e-07,1.9e-08,202.0,402.0,0.0099999997764825,6.0,3.0,9.999999717180683e-10,9.999999717180683e-10,0.5441254377365112,0.5,103,adamax,-90.47865022060836
584,412,398,0.48,10,9690,8e-07,0.0082,412.0,398.0,0.0099999997764825,10.0,9690.0,0.9900000095367432,0.69407057762146,0.5444000363349915,0.5,110,adamax,-10.909192707977565
585,354,383,0.76,10,8408,4.3e-05,0.012,354.0,383.0,0.0099999997764825,10.0,8408.0,0.9900000095367432,0.543811023235321,0.5446364879608154,0.5,178,adamax,-65.16646465360176
586,367,292,0.91,8,9914,0.35,1.2e-06,367.0,292.0,0.0099999997764825,8.0,9914.0,0.539670467376709,0.7516123652458191,0.5473934412002563,0.5,130,adamax,2.1709227769484762
587,116,418,0.98,10,7748,4.6e-06,0.029,116.0,418.0,0.324897825717926,10.0,7748.0,0.9900000095367432,0.3264331817626953,0.5483238697052002,0.5,105,adamax,-83.91607087246227
588,460,424,0.93,6,7163,2.7e-07,0.032,460.0,424.0,0.0099999997764825,6.0,7162.0,0.9900000095367432,0.4413741528987884,0.5554561614990234,0.5,118,adamax,-64.59598711819694
589,245,259,0.47,7,8398,3.6e-05,0.022,245.0,259.0,0.0099999997764825,8.0,8398.0,0.9900000095367432,0.5133768916130066,0.5556615591049194,0.5,152,adamax,-60.2510868222032
590,146,193,0.77,7,9769,0.00056,0.00017,146.0,193.0,0.0099999997764825,7.0,9768.0,0.9900000095367432,0.560478925704956,0.5579624176025391,0.5,146,adamax,-17.193316502109834
591,356,243,0.72,7,8968,9.7e-05,0.07,356.0,243.0,0.0099999997764825,7.0,8968.0,0.9900000095367432,0.5954781770706177,0.5584613084793091,0.5,171,adamax,-28.17908847749697
592,31,364,0.5,7,7500,0.00067,1.7e-07,31.0,364.0,0.1691901385784149,7.0,7500.0,0.9900000095367432,0.3156014382839203,0.5609703660011292,0.5,147,adamax,-84.00323356719026
593,289,372,0.063,7,6793,5.5e-06,0.56,289.0,372.0,1.0,7.0,6792.0,0.9900000095367432,0.5453562140464783,0.5652359127998352,0.5,129,adamax,-0.941454052337247
594,246,499,0.44,7,6669,3.7e-08,1.3e-07,246.0,499.0,0.0099999997764825,7.0,6669.0,0.9900000095367432,0.419878602027893,0.5679455399513245,0.5,148,adamax,-81.42024537456967
595,165,394,0.88,9,9387,6.9e-05,3.9e-07,165.0,394.0,0.3032498359680176,10.0,9386.0,0.9900000095367432,0.3781120181083679,0.5847378373146057,0.5,141,adamax,-80.49908895100435
596,372,272,0.13,6,8258,0.00043,5.6e-08,372.0,272.0,1.0,6.0,8258.0,0.8260486721992493,0.5821310877799988,0.6108888983726501,0.5,104,adamax,1.120336059689979
597,16,55,0.23,11,5848,2.4e-08,8.8e-08,16.0,55.0,0.0099999997764825,11.0,5848.0,9.999999717180683e-10,9.999999717180683e-10,1.0388634204864502,0.5,102,adamax,-196.82496067787454
598,315,261,0.19,11,5446,0.0015,8.5e-05,315.0,261.0,0.0099999997764825,11.0,5446.0,9.999999717180683e-10,9.999999717180683e-10,1.0490329265594482,0.5,102,adamax,-202.3186386656967
599,8,350,0.35,9,211,0.0002,4.1e-06,8.0,350.0,1.0,9.0,211.0,0.9522916674613952,9.999999717180683e-10,1.3069766759872437,0.5,104,adamax,-490.9309027398394
600,95,3,0.69,10,1159,1.6e-05,0.5,95.0,3.0,0.7111248970031738,10.0,1159.0,9.999999717180683e-10,0.3020623028278351,0.225555807352066,0.1,110,adam,26.216464505790093
601,48,12,0.45,8,2703,8.7e-08,0.0017,48.0,12.0,0.4092887639999389,8.0,2703.0,0.528766393661499,0.2361641824245453,0.2680075168609619,0.1,153,adam,23.26630388447939
